FISCAL_YEAR,QUARTER,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,COMPLETED_50TH_PERCENTILE,COMPLETED_90TH_PERCENTILE
2021/22,Q1,Fraser,Burnaby Hospital,Uterine Surgery,69,69,5.7,29.2
2021/22,Q1,Fraser,Burnaby Hospital,Vaginal Repair,<5,6,12.9,47.9
2021/22,Q1,Fraser,Burnaby Hospital,Vascular Surgery - Other,<5,0,,
2021/22,Q1,Fraser,Burnaby Hospital,Wound/Laceration Care,<5,<5,,
2021/22,Q1,Fraser,Chilliwack General Hospital,All Other Procedures,5,16,6.0,17.0
2021/22,Q1,Fraser,Chilliwack General Hospital,All Procedures,1790,2020,4.9,22.1
2021/22,Q1,Fraser,Chilliwack General Hospital,Appendectomy,<5,<5,,
2021/22,Q1,Fraser,Chilliwack General Hospital,Biopsy in OR,<5,5,2.0,7.5
2021/22,Q1,Fraser,Chilliwack General Hospital,Bladder Surgery,30,46,4.1,8.6
2021/22,Q1,Fraser,Chilliwack General Hospital,Bowel Resection,5,13,2.1,4.5
2021/22,Q1,Fraser,Chilliwack General Hospital,Breast Biopsy,<5,19,2.7,4.9
2021/22,Q1,Fraser,Chilliwack General Hospital,Cataract Surgery,970,1247,4.9,21.7
2021/22,Q1,Fraser,Chilliwack General Hospital,Cholecystectomy,16,45,3.6,7.5
2021/22,Q1,Fraser,Chilliwack General Hospital,Colostomy/Ileostomy,<5,<5,,
2021/22,Q1,Fraser,Chilliwack General Hospital,Cone Biopsy,<5,10,4.9,7.2
2021/22,Q1,Fraser,Chilliwack General Hospital,D&C and Related Surgery,73,23,13.9,43.0
2021/22,Q1,Fraser,Chilliwack General Hospital,Dental Surgery,29,25,13.3,25.7
2021/22,Q1,Fraser,Chilliwack General Hospital,Examination Under Anaesthetic,<5,<5,,
2021/22,Q1,Fraser,Chilliwack General Hospital,Excision Gynecomastia,<5,0,,
2021/22,Q1,Fraser,Chilliwack General Hospital,Excision Lesion/Tumour,5,12,3.6,9.0
2021/22,Q1,Fraser,Chilliwack General Hospital,Facial Bone Reconstruction,<5,0,,
2021/22,Q1,Fraser,Chilliwack General Hospital,Fallopian Tube/Ovarian Surgery,65,29,6.7,34.2
2021/22,Q1,Fraser,Chilliwack General Hospital,Fistula Repair - Non Vascular,<5,<5,,
2021/22,Q1,Fraser,Chilliwack General Hospital,Foot/Ankle Surgery,<5,<5,,
2021/22,Q1,Fraser,Chilliwack General Hospital,Hand/Wrist Surgery,<5,0,,
2021/22,Q1,Fraser,Chilliwack General Hospital,Hernia Repair - Abdominal,51,80,5.2,10.3
2021/22,Q1,Fraser,Chilliwack General Hospital,Hip Replacement,44,32,5.1,23.3
2021/22,Q1,Fraser,Chilliwack General Hospital,Kidney/Bladder Stone Removal,<5,<5,,
2021/22,Q1,Fraser,Chilliwack General Hospital,Knee - ACL Repair,<5,19,3.6,28.2
2021/22,Q1,Fraser,Chilliwack General Hospital,Knee - Meniscectomy,6,7,3.4,12.6
2021/22,Q1,Fraser,Chilliwack General Hospital,Knee Arthroscopy,<5,10,2.6,15.0
2021/22,Q1,Fraser,Chilliwack General Hospital,Knee Replacement,58,61,10.1,23.4
2021/22,Q1,Fraser,Chilliwack General Hospital,Laparoscopy,20,14,8.5,60.5
2021/22,Q1,Fraser,Chilliwack General Hospital,Male Reproductive Surgery,19,8,10.9,14.3
2021/22,Q1,Fraser,Chilliwack General Hospital,Mastectomy,<5,22,1.8,3.0
2021/22,Q1,Fraser,Chilliwack General Hospital,Myringotomy,<5,<5,,
2021/22,Q1,Fraser,Chilliwack General Hospital,Nasal Surgery,12,<5,,
2021/22,Q1,Fraser,Chilliwack General Hospital,Nerve Surgery,<5,<5,,
2021/22,Q1,Fraser,Chilliwack General Hospital,Other Eye Surgery,<5,6,4.4,9.4
2021/22,Q1,Fraser,Chilliwack General Hospital,Other Joint Reconstruction,<5,<5,,
2021/22,Q1,Fraser,Chilliwack General Hospital,Other Orthopaedic Surgery,12,13,2.4,15.6
2021/22,Q1,Fraser,Chilliwack General Hospital,Other Urology Surgery,60,45,9.1,20.0
2021/22,Q1,Fraser,Chilliwack General Hospital,Parotidectomy,<5,<5,,
2021/22,Q1,Fraser,Chilliwack General Hospital,Prostate Surgery,46,41,12.0,22.7
2021/22,Q1,Fraser,Chilliwack General Hospital,Rectal Surgery,<5,<5,,
2021/22,Q1,Fraser,Chilliwack General Hospital,Shoulder Surgery,<5,5,3.6,9.9
2021/22,Q1,Fraser,Chilliwack General Hospital,Sinus Surgery,5,7,6.0,11.8
2021/22,Q1,Fraser,Chilliwack General Hospital,Skin Tumour Removal,5,8,4.0,8.4
2021/22,Q1,Fraser,Chilliwack General Hospital,Tendon Surgery,<5,<5,,
2021/22,Q1,Fraser,Chilliwack General Hospital,Thyroidectomy,<5,8,6.0,6.8
2021/22,Q1,Fraser,Chilliwack General Hospital,Tonsillectomy/Adenoidectomy,9,5,10.6,19.7
2021/22,Q1,Fraser,Chilliwack General Hospital,Tympanoplasty,<5,<5,,
2021/22,Q1,Fraser,Chilliwack General Hospital,Uterine Surgery,152,78,11.9,38.4
2021/22,Q1,Fraser,Chilliwack General Hospital,Vaginal Repair,38,13,20.3,46.6
2021/22,Q1,Fraser,Chilliwack General Hospital,Vascular Surgery - Other,<5,0,,
2021/22,Q1,Fraser,Chilliwack General Hospital,Wound/Laceration Care,<5,<5,,
2021/22,Q1,Fraser,Delta Hospital,Abdominoplasty,<5,<5,,
2021/22,Q1,Fraser,Delta Hospital,All Other Procedures,5,<5,,
2021/22,Q1,Fraser,Delta Hospital,All Procedures,821,1147,4.7,20.8
2021/22,Q1,Fraser,Delta Hospital,Bariatric Surgery,<5,<5,,
2021/22,Q1,Fraser,Delta Hospital,Biopsy in OR,<5,<5,,
2021/22,Q1,Fraser,Delta Hospital,Bladder Surgery,28,40,5.1,23.4
2021/22,Q1,Fraser,Delta Hospital,Breast Biopsy,12,23,3.1,6.1
2021/22,Q1,Fraser,Delta Hospital,Breast Reduction,22,23,5.3,9.0
2021/22,Q1,Fraser,Delta Hospital,Cataract Surgery,115,261,4.7,12.9
2021/22,Q1,Fraser,Delta Hospital,Cholecystectomy,34,49,4.4,5.9
2021/22,Q1,Fraser,Delta Hospital,D&C and Related Surgery,59,107,6.3,21.2
2021/22,Q1,Fraser,Delta Hospital,Excision Gynecomastia,6,<5,,
2021/22,Q1,Fraser,Delta Hospital,Excision Lesion/Tumour,6,14,7.6,33.2
2021/22,Q1,Fraser,Delta Hospital,Facial Bone Reconstruction,5,8,4.9,6.0
2021/22,Q1,Fraser,Delta Hospital,Fallopian Tube/Ovarian Surgery,47,30,13.5,59.4
2021/22,Q1,Fraser,Delta Hospital,Fistula Repair - Non Vascular,12,12,6.2,16.6
2021/22,Q1,Fraser,Delta Hospital,Foot/Ankle Surgery,6,5,5.0,7.5
2021/22,Q1,Fraser,Delta Hospital,Foreign Body Removal Surgery,<5,0,,
2021/22,Q1,Fraser,Delta Hospital,Fracture Repair,<5,<5,,
2021/22,Q1,Fraser,Delta Hospital,Hand/Wrist Surgery,<5,5,3.9,3.9
2021/22,Q1,Fraser,Delta Hospital,Hernia Repair - Abdominal,84,137,4.0,9.1
2021/22,Q1,Fraser,Delta Hospital,Kidney/Bladder Stone Removal,<5,<5,,
2021/22,Q1,Fraser,Delta Hospital,Knee - ACL Repair,16,20,4.6,19.8
2021/22,Q1,Fraser,Delta Hospital,Knee - Meniscectomy,6,<5,,
2021/22,Q1,Fraser,Delta Hospital,Knee Arthroscopy,25,24,6.6,28.3
2021/22,Q1,Fraser,Delta Hospital,Laparoscopy,10,0,,
2021/22,Q1,Fraser,Delta Hospital,Lipectomy,<5,0,,
2021/22,Q1,Fraser,Delta Hospital,Male Reproductive Surgery,12,15,2.0,9.2
2021/22,Q1,Fraser,Delta Hospital,Mastectomy,<5,39,2.7,6.9
2021/22,Q1,Fraser,Delta Hospital,Nasal Surgery,<5,<5,,
2021/22,Q1,Fraser,Delta Hospital,Nerve Surgery,5,<5,,
2021/22,Q1,Fraser,Delta Hospital,Other Eye Surgery,48,33,12.0,35.3
2021/22,Q1,Fraser,Delta Hospital,Other Joint Reconstruction,10,11,7.9,25.1
2021/22,Q1,Fraser,Delta Hospital,Other Orthopaedic Surgery,35,26,6.1,43.1
2021/22,Q1,Fraser,Delta Hospital,Other Urology Surgery,<5,10,3.5,6.9
2021/22,Q1,Fraser,Delta Hospital,Prostate Surgery,<5,0,,
2021/22,Q1,Fraser,Delta Hospital,Rectal Surgery,35,65,4.4,7.9
2021/22,Q1,Fraser,Delta Hospital,Skin Tumour Removal,36,72,3.8,11.6
2021/22,Q1,Fraser,Delta Hospital,Sphincterotomy,<5,0,,
2021/22,Q1,Fraser,Delta Hospital,Tendon Surgery,<5,<5,,
2021/22,Q1,Fraser,Delta Hospital,Uterine Surgery,52,38,11.4,37.4
2021/22,Q1,Fraser,Delta Hospital,Vaginal Repair,32,10,10.5,64.3
2021/22,Q1,Fraser,Delta Hospital,Varicose Veins Ligation/Stripping,23,16,24.9,78.9
2021/22,Q1,Fraser,Delta Hospital,Wound/Laceration Care,5,8,5.6,12.1
2021/22,Q1,Fraser,Eagle Ridge Hospital,Abdominoplasty,15,<5,,
2021/22,Q1,Fraser,Eagle Ridge Hospital,All Other Procedures,33,18,4.4,27.2
2021/22,Q1,Fraser,Eagle Ridge Hospital,All Procedures,1653,1508,5.4,25.1
2021/22,Q1,Fraser,Eagle Ridge Hospital,Appendectomy,7,6,2.8,9.5
2021/22,Q1,Fraser,Eagle Ridge Hospital,Biopsy in OR,<5,<5,,
2021/22,Q1,Fraser,Eagle Ridge Hospital,Bladder Surgery,23,35,3.1,11.9
2021/22,Q1,Fraser,Eagle Ridge Hospital,Bowel Resection,<5,8,2.4,11.0
2021/22,Q1,Fraser,Eagle Ridge Hospital,Breast Biopsy,<5,5,3.0,3.2
2021/22,Q1,Fraser,Eagle Ridge Hospital,Breast Reconstruction,28,14,11.9,25.4
2021/22,Q1,Fraser,Eagle Ridge Hospital,Breast Reduction,152,38,22.6,60.9
2021/22,Q1,Fraser,Eagle Ridge Hospital,Cholecystectomy,57,108,3.2,8.1
2021/22,Q1,Fraser,Eagle Ridge Hospital,Colostomy/Ileostomy,<5,<5,,
2021/22,Q1,Fraser,Eagle Ridge Hospital,Cyst/Ganglion Removal,<5,5,8.1,23.9
2021/22,Q1,Fraser,Eagle Ridge Hospital,D&C and Related Surgery,51,31,6.0,18.3
2021/22,Q1,Fraser,Eagle Ridge Hospital,Dental Surgery,139,67,9.3,20.9
2021/22,Q1,Fraser,Eagle Ridge Hospital,Examination Under Anaesthetic,33,66,5.9,21.1
2021/22,Q1,Fraser,Eagle Ridge Hospital,Excision Gynecomastia,<5,0,,
2021/22,Q1,Fraser,Eagle Ridge Hospital,Excision Lesion/Tumour,18,27,3.0,13.9
2021/22,Q1,Fraser,Eagle Ridge Hospital,Fallopian Tube/Ovarian Surgery,38,19,7.1,25.4
2021/22,Q1,Fraser,Eagle Ridge Hospital,Foot/Ankle Surgery,23,11,12.0,23.0
2021/22,Q1,Fraser,Eagle Ridge Hospital,Fracture Repair,<5,29,0.6,3.6
2021/22,Q1,Fraser,Eagle Ridge Hospital,Hand/Wrist Surgery,49,52,5.4,38.3
2021/22,Q1,Fraser,Eagle Ridge Hospital,Hernia Repair - Abdominal,59,151,6.0,10.7
2021/22,Q1,Fraser,Eagle Ridge Hospital,Hip Replacement,76,12,25.9,45.3
2021/22,Q1,Fraser,Eagle Ridge Hospital,Kidney/Bladder Stone Removal,<5,5,3.7,3.7
2021/22,Q1,Fraser,Eagle Ridge Hospital,Knee - ACL Repair,25,32,3.9,8.8
2021/22,Q1,Fraser,Eagle Ridge Hospital,Knee Arthroscopy,21,26,3.4,4.8
2021/22,Q1,Fraser,Eagle Ridge Hospital,Knee Replacement,79,11,8.7,32.4
2021/22,Q1,Fraser,Eagle Ridge Hospital,Laparoscopy,7,5,3.6,14.6
2021/22,Q1,Fraser,Eagle Ridge Hospital,Laparotomy,<5,<5,,
2021/22,Q1,Fraser,Eagle Ridge Hospital,Ligament Surgery,8,15,2.4,6.0
2021/22,Q1,Fraser,Eagle Ridge Hospital,Lipectomy,<5,<5,,
2021/22,Q1,Fraser,Eagle Ridge Hospital,Male Reproductive Surgery,<5,7,3.7,4.3
2021/22,Q1,Fraser,Eagle Ridge Hospital,Mastectomy,<5,8,2.1,8.6
2021/22,Q1,Fraser,Eagle Ridge Hospital,Mastoidectomy,<5,0,,
2021/22,Q1,Fraser,Eagle Ridge Hospital,Myringotomy,<5,0,,
2021/22,Q1,Fraser,Eagle Ridge Hospital,Nasal Surgery,58,62,21.5,33.3
2021/22,Q1,Fraser,Eagle Ridge Hospital,Nerve Surgery,5,6,4.5,9.7
2021/22,Q1,Fraser,Eagle Ridge Hospital,Other Eye Surgery,<5,<5,,
2021/22,Q1,Fraser,Eagle Ridge Hospital,Other Joint Reconstruction,70,61,8.0,22.0
2021/22,Q1,Fraser,Eagle Ridge Hospital,Other Orthopaedic Surgery,85,56,5.8,13.8
2021/22,Q1,Fraser,Eagle Ridge Hospital,Other Urology Surgery,14,48,3.0,11.3
2021/22,Q1,Fraser,Eagle Ridge Hospital,Parotidectomy,6,10,24.6,31.6
2021/22,Q1,Fraser,Eagle Ridge Hospital,Prostate Surgery,6,25,2.7,6.5
2021/22,Q1,Fraser,Eagle Ridge Hospital,Rectal Surgery,7,7,10.0,22.1
2021/22,Q1,Fraser,Eagle Ridge Hospital,Shoulder Surgery,36,34,6.8,13.9
2021/22,Q1,Fraser,Eagle Ridge Hospital,Sinus Surgery,<5,<5,,
2021/22,Q1,Fraser,Eagle Ridge Hospital,Skin Surgery,9,<5,,
2021/22,Q1,Fraser,Eagle Ridge Hospital,Skin Tumour Removal,37,35,3.1,18.7
2021/22,Q1,Fraser,Eagle Ridge Hospital,Spinal/Back Surgery,61,70,3.1,8.9
2021/22,Q1,Fraser,Eagle Ridge Hospital,Tendon Surgery,15,21,3.7,16.6
2021/22,Q1,Fraser,Eagle Ridge Hospital,Thyroidectomy,11,20,4.0,19.6
2021/22,Q1,Fraser,Eagle Ridge Hospital,Tonsillectomy/Adenoidectomy,45,60,18.5,33.8
2021/22,Q1,Fraser,Eagle Ridge Hospital,Tympanoplasty,<5,7,2.0,9.0
2021/22,Q1,Fraser,Eagle Ridge Hospital,Uterine Surgery,93,75,14.1,33.6
2021/22,Q1,Fraser,Eagle Ridge Hospital,Vaginal Repair,23,12,6.6,41.3
2021/22,Q1,Fraser,Eagle Ridge Hospital,Varicose Veins Ligation/Stripping,79,45,13.3,30.4
2021/22,Q1,Fraser,Eagle Ridge Hospital,Wound/Laceration Care,12,15,6.1,15.6
2021/22,Q1,Fraser,Langley Memorial Hospital,All Other Procedures,6,12,4.3,21.2
2021/22,Q1,Fraser,Langley Memorial Hospital,All Procedures,1372,1738,5.1,25.3
2021/22,Q1,Fraser,Langley Memorial Hospital,Appendectomy,<5,<5,,
2021/22,Q1,Fraser,Langley Memorial Hospital,Bariatric Surgery,<5,<5,,
2021/22,Q1,Fraser,Langley Memorial Hospital,Bladder Surgery,16,58,2.5,6.9
2021/22,Q1,Fraser,Langley Memorial Hospital,Bowel Resection,14,32,3.3,10.2
2021/22,Q1,Fraser,Langley Memorial Hospital,Breast Reduction,<5,<5,,
2021/22,Q1,Fraser,Langley Memorial Hospital,Cataract Surgery,437,710,4.9,25.7
2021/22,Q1,Fraser,Langley Memorial Hospital,Cholecystectomy,22,62,5.9,20.0
2021/22,Q1,Fraser,Langley Memorial Hospital,Colostomy/Ileostomy,<5,8,4.7,20.0
2021/22,Q1,Fraser,Langley Memorial Hospital,Cone Biopsy,<5,<5,,
2021/22,Q1,Fraser,Langley Memorial Hospital,Cyst/Ganglion Removal,6,5,16.9,37.6
2021/22,Q1,Fraser,Langley Memorial Hospital,D&C and Related Surgery,25,37,5.7,16.4
2021/22,Q1,Fraser,Langley Memorial Hospital,Dental Surgery,30,28,8.9,17.4
2021/22,Q1,Fraser,Langley Memorial Hospital,Examination Under Anaesthetic,<5,<5,,
2021/22,Q1,Fraser,Langley Memorial Hospital,Excision Lesion/Tumour,<5,11,3.0,8.0
2021/22,Q1,Fraser,Langley Memorial Hospital,Facial Bone Reconstruction,13,7,9.0,18.2
2021/22,Q1,Fraser,Langley Memorial Hospital,Fallopian Tube/Ovarian Surgery,13,19,9.0,19.3
2021/22,Q1,Fraser,Langley Memorial Hospital,Fistula Repair - Non Vascular,<5,<5,,
2021/22,Q1,Fraser,Langley Memorial Hospital,Fracture Repair,<5,<5,,
2021/22,Q1,Fraser,Langley Memorial Hospital,Hand/Wrist Surgery,5,<5,,
2021/22,Q1,Fraser,Langley Memorial Hospital,Hernia Repair - Abdominal,105,97,5.7,24.0
2021/22,Q1,Fraser,Langley Memorial Hospital,Hip Replacement,70,67,12.7,26.6
2021/22,Q1,Fraser,Langley Memorial Hospital,Kidney/Bladder Stone Removal,<5,7,2.1,3.0
2021/22,Q1,Fraser,Langley Memorial Hospital,Knee - ACL Repair,16,8,19.1,25.1
2021/22,Q1,Fraser,Langley Memorial Hospital,Knee - Meniscectomy,27,46,9.4,24.3
2021/22,Q1,Fraser,Langley Memorial Hospital,Knee Arthroscopy,30,5,5.1,11.0
2021/22,Q1,Fraser,Langley Memorial Hospital,Knee Replacement,198,134,17.7,34.3
2021/22,Q1,Fraser,Langley Memorial Hospital,Laparotomy,<5,<5,,
2021/22,Q1,Fraser,Langley Memorial Hospital,Male Reproductive Surgery,6,5,3.7,13.7
2021/22,Q1,Fraser,Langley Memorial Hospital,Nasal Surgery,<5,9,1.4,12.3
2021/22,Q1,Fraser,Langley Memorial Hospital,Other Joint Reconstruction,9,14,7.7,23.0
2021/22,Q1,Fraser,Langley Memorial Hospital,Other Orthopaedic Surgery,8,11,5.0,17.3
2021/22,Q1,Fraser,Langley Memorial Hospital,Other Urology Surgery,36,65,3.4,12.2
2021/22,Q1,Fraser,Langley Memorial Hospital,Prostate Surgery,10,27,3.0,6.6
2021/22,Q1,Fraser,Langley Memorial Hospital,Rectal Surgery,9,5,8.9,23.3
2021/22,Q1,Fraser,Langley Memorial Hospital,Shoulder Surgery,85,42,21.8,60.7
2021/22,Q1,Fraser,Langley Memorial Hospital,Sinus Surgery,<5,0,,
2021/22,Q1,Fraser,Langley Memorial Hospital,Skin Tumour Removal,17,26,2.4,13.9
2021/22,Q1,Fraser,Langley Memorial Hospital,Tendon Surgery,<5,0,,
2021/22,Q1,Fraser,Langley Memorial Hospital,Tonsillectomy/Adenoidectomy,9,21,1.1,51.6
2021/22,Q1,Fraser,Langley Memorial Hospital,Uterine Surgery,106,92,10.1,26.1
2021/22,Q1,Fraser,Langley Memorial Hospital,Vaginal Repair,7,6,13.4,22.3
2021/22,Q1,Fraser,Langley Memorial Hospital,Vascular Surgery - Other,<5,0,,
2021/22,Q1,Fraser,Langley Memorial Hospital,Wound/Laceration Care,<5,8,6.9,26.6
2021/22,Q1,Fraser,Pattison Outpatient Centre,Abdominoplasty,<5,0,,
2021/22,Q1,Fraser,Pattison Outpatient Centre,All Other Procedures,127,117,5.0,34.5
2021/22,Q1,Fraser,Pattison Outpatient Centre,All Procedures,2824,1674,5.4,33.6
2021/22,Q1,Fraser,Pattison Outpatient Centre,Appendectomy,<5,<5,,
2021/22,Q1,Fraser,Pattison Outpatient Centre,Biopsy in OR,<5,5,2.4,3.3
2021/22,Q1,Fraser,Pattison Outpatient Centre,Bladder Surgery,42,40,3.4,12.6
2021/22,Q1,Fraser,Pattison Outpatient Centre,Breast Biopsy,<5,13,2.3,6.1
2021/22,Q1,Fraser,Pattison Outpatient Centre,Breast Reconstruction,90,50,12.5,42.0
2021/22,Q1,Fraser,Pattison Outpatient Centre,Breast Reduction,228,84,11.5,49.1
2021/22,Q1,Fraser,Pattison Outpatient Centre,Cholecystectomy,92,101,3.1,8.1
2021/22,Q1,Fraser,Pattison Outpatient Centre,Cone Biopsy,<5,<5,,
2021/22,Q1,Fraser,Pattison Outpatient Centre,Cyst/Ganglion Removal,13,<5,,
2021/22,Q1,Fraser,Pattison Outpatient Centre,D&C and Related Surgery,103,90,4.2,34.7
2021/22,Q1,Fraser,Pattison Outpatient Centre,Examination Under Anaesthetic,<5,0,,
2021/22,Q1,Fraser,Pattison Outpatient Centre,Excision Gynecomastia,<5,<5,,
2021/22,Q1,Fraser,Pattison Outpatient Centre,Excision Lesion/Tumour,10,13,2.7,4.7
2021/22,Q1,Fraser,Pattison Outpatient Centre,Fallopian Tube/Ovarian Surgery,99,28,6.7,37.5
2021/22,Q1,Fraser,Pattison Outpatient Centre,Fistula Repair - Non Vascular,<5,0,,
2021/22,Q1,Fraser,Pattison Outpatient Centre,Foot/Ankle Surgery,11,6,4.6,45.6
2021/22,Q1,Fraser,Pattison Outpatient Centre,Fracture Repair,<5,5,0.6,3.9
2021/22,Q1,Fraser,Pattison Outpatient Centre,Hand/Wrist Surgery,24,6,9.0,20.4
2021/22,Q1,Fraser,Pattison Outpatient Centre,Hernia Repair - Abdominal,148,145,3.3,13.7
2021/22,Q1,Fraser,Pattison Outpatient Centre,Kidney/Bladder Stone Removal,121,102,8.4,12.4
2021/22,Q1,Fraser,Pattison Outpatient Centre,Knee - ACL Repair,53,11,70.4,78.4
2021/22,Q1,Fraser,Pattison Outpatient Centre,Knee - Meniscectomy,25,6,17.5,48.0
2021/22,Q1,Fraser,Pattison Outpatient Centre,Knee Arthroscopy,120,24,12.1,77.6
2021/22,Q1,Fraser,Pattison Outpatient Centre,Laparoscopy,9,9,2.7,15.0
2021/22,Q1,Fraser,Pattison Outpatient Centre,Lens & Vitreous (non-cataract) Surgery,80,81,11.7,34.9
2021/22,Q1,Fraser,Pattison Outpatient Centre,Ligament Surgery,<5,<5,,
2021/22,Q1,Fraser,Pattison Outpatient Centre,Lipectomy,<5,0,,
2021/22,Q1,Fraser,Pattison Outpatient Centre,Male Reproductive Surgery,14,11,3.6,24.1
2021/22,Q1,Fraser,Pattison Outpatient Centre,Mastectomy,43,114,2.8,10.2
2021/22,Q1,Fraser,Pattison Outpatient Centre,Mastoidectomy,30,7,12.0,93.9
2021/22,Q1,Fraser,Pattison Outpatient Centre,Myringotomy,<5,0,,
2021/22,Q1,Fraser,Pattison Outpatient Centre,Nasal Surgery,296,76,20.5,33.6
2021/22,Q1,Fraser,Pattison Outpatient Centre,Nerve Surgery,10,5,0.9,8.8
2021/22,Q1,Fraser,Pattison Outpatient Centre,Other Ear Surgery,15,<5,,
2021/22,Q1,Fraser,Pattison Outpatient Centre,Other Eye Surgery,10,34,3.9,16.1
2021/22,Q1,Fraser,Pattison Outpatient Centre,Other Joint Reconstruction,25,12,5.1,11.9
2021/22,Q1,Fraser,Pattison Outpatient Centre,Other Orthopaedic Surgery,106,38,7.4,51.2
2021/22,Q1,Fraser,Pattison Outpatient Centre,Other Urology Surgery,23,32,2.4,8.4
2021/22,Q1,Fraser,Pattison Outpatient Centre,Parotidectomy,9,10,9.6,19.4
2021/22,Q1,Fraser,Pattison Outpatient Centre,Prostate Surgery,7,17,3.7,9.4
2021/22,Q1,Fraser,Pattison Outpatient Centre,Rectal Surgery,53,47,4.4,14.5
2021/22,Q1,Fraser,Pattison Outpatient Centre,Shoulder Surgery,88,38,5.1,47.5
2021/22,Q1,Fraser,Pattison Outpatient Centre,Sinus Surgery,126,58,21.7,39.6
2021/22,Q1,Fraser,Pattison Outpatient Centre,Skin Surgery,35,9,20.6,61.0
2021/22,Q1,Fraser,Pattison Outpatient Centre,Skin Tumour Removal,36,52,2.0,9.7
2021/22,Q1,Fraser,Pattison Outpatient Centre,Sphincterotomy,6,<5,,
2021/22,Q1,Fraser,Pattison Outpatient Centre,Tendon Surgery,<5,<5,,
2021/22,Q1,Fraser,Pattison Outpatient Centre,Thyroidectomy,16,14,7.5,19.3
2021/22,Q1,Fraser,Pattison Outpatient Centre,Tonsillectomy/Adenoidectomy,98,26,19.8,65.6
2021/22,Q1,Fraser,Pattison Outpatient Centre,Tympanoplasty,245,26,68.1,85.9
2021/22,Q1,Fraser,Pattison Outpatient Centre,Uterine Surgery,6,9,7.9,22.3
2021/22,Q1,Fraser,Pattison Outpatient Centre,Vaginal Repair,68,38,13.0,43.8
2021/22,Q1,Fraser,Pattison Outpatient Centre,Vascular Surgery - Other,9,27,2.0,3.0
2021/22,Q1,Fraser,Pattison Outpatient Centre,Wound/Laceration Care,21,16,2.4,9.4
2021/22,Q1,Fraser,Peace Arch Hospital,Abdominoplasty,<5,<5,,
2021/22,Q1,Fraser,Peace Arch Hospital,All Other Procedures,5,5,3.0,5.1
2021/22,Q1,Fraser,Peace Arch Hospital,All Procedures,1136,983,7.0,27.9
2021/22,Q1,Fraser,Peace Arch Hospital,Bladder Surgery,13,32,3.9,6.4
2021/22,Q1,Fraser,Peace Arch Hospital,Bowel Resection,<5,13,3.0,7.2
2021/22,Q1,Fraser,Peace Arch Hospital,Breast Reconstruction,14,6,33.5,64.9
2021/22,Q1,Fraser,Peace Arch Hospital,Breast Reduction,12,5,61.1,106.4
2021/22,Q1,Fraser,Peace Arch Hospital,Cataract Surgery,330,312,9.1,26.0
2021/22,Q1,Fraser,Peace Arch Hospital,Cholecystectomy,43,48,6.4,20.4
2021/22,Q1,Fraser,Peace Arch Hospital,Colostomy/Ileostomy,<5,0,,
2021/22,Q1,Fraser,Peace Arch Hospital,D&C and Related Surgery,21,27,3.9,8.9
2021/22,Q1,Fraser,Peace Arch Hospital,Dental Surgery,<5,<5,,
2021/22,Q1,Fraser,Peace Arch Hospital,Examination Under Anaesthetic,<5,8,7.7,19.8
2021/22,Q1,Fraser,Peace Arch Hospital,Excision Gynecomastia,<5,<5,,
2021/22,Q1,Fraser,Peace Arch Hospital,Facial Bone Reconstruction,8,11,6.3,10.4
2021/22,Q1,Fraser,Peace Arch Hospital,Fallopian Tube/Ovarian Surgery,10,12,4.7,24.7
2021/22,Q1,Fraser,Peace Arch Hospital,Fistula Repair - Non Vascular,<5,6,6.8,7.8
2021/22,Q1,Fraser,Peace Arch Hospital,Foreign Body Removal Surgery,<5,0,,
2021/22,Q1,Fraser,Peace Arch Hospital,Fracture Repair,5,<5,,
2021/22,Q1,Fraser,Peace Arch Hospital,Gastrostomy/Jejunostomy,<5,0,,
2021/22,Q1,Fraser,Peace Arch Hospital,Hand/Wrist Surgery,<5,0,,
2021/22,Q1,Fraser,Peace Arch Hospital,Hernia Repair - Abdominal,104,107,7.0,19.5
2021/22,Q1,Fraser,Peace Arch Hospital,Hip Replacement,64,32,20.4,54.4
2021/22,Q1,Fraser,Peace Arch Hospital,Kidney/Bladder Stone Removal,<5,<5,,
2021/22,Q1,Fraser,Peace Arch Hospital,Knee - ACL Repair,5,<5,,
2021/22,Q1,Fraser,Peace Arch Hospital,Knee - Meniscectomy,<5,<5,,
2021/22,Q1,Fraser,Peace Arch Hospital,Knee Arthroscopy,7,<5,,
2021/22,Q1,Fraser,Peace Arch Hospital,Knee Replacement,153,55,27.9,62.2
2021/22,Q1,Fraser,Peace Arch Hospital,Laparoscopy,<5,<5,,
2021/22,Q1,Fraser,Peace Arch Hospital,Laparotomy,<5,<5,,
2021/22,Q1,Fraser,Peace Arch Hospital,Ligament Surgery,<5,0,,
2021/22,Q1,Fraser,Peace Arch Hospital,Male Reproductive Surgery,<5,10,3.8,8.9
2021/22,Q1,Fraser,Peace Arch Hospital,Mastectomy,<5,7,3.1,3.3
2021/22,Q1,Fraser,Peace Arch Hospital,Nasal Surgery,40,27,11.9,30.4
2021/22,Q1,Fraser,Peace Arch Hospital,Other Eye Surgery,<5,11,9.7,11.7
